,0,1,2,3,4,5,6,7,8
69,2001.0,9.0,265721.7,9231.4,274953.1,90827.65,139239.35,230067.0,505020.1
70,2001.0,10.0,234132.15,7597.05,241729.2,89680.8,124094.75,213775.55,455504.75
71,2001.0,11.0,216656.7,9228.8,225885.5,86186.35,115608.3,201794.65,427680.15
72,2002.0,0.0,210394.25,10415.0,220809.25,83122.55,104304.65,187427.2,408236.45
73,2002.0,1.0,234405.15,9761.6,244166.75,92400.75,98440.2,190840.95,435007.7
74,2002.0,2.0,218697.5,11256.2,229953.7,92662.25,113949.75,206612.0,436565.7
75,2002.0,3.0,258026.4,9346.35,276372.75,91114.35,125812.15,216926.5,484299.25
76,2002.0,4.0,274449.3,9935.2,284384.5,96684.7,150145.0,246829.7,531214.2
77,2002.0,5.0,291966.3,9480.65,301446.95,95285.1,139729.45,235014.55,536461.5
78,2002.0,6.0,260811.15,11120.95,271932.1,83739.65,140018.7,223758.35,495690.45
79,2002.0,7.0,327471.85,12217.4,339689.25,91421.45,174383.1,265804.55,605493.8
80,2002.0,8.0,320577.65,10388.8,330966.45,89503.25,168772.45,258275.7,589242.15
81,2002.0,9.0,252909.65,12307.7,265217.35,70208.4,135544.85,205753.25,470970.6
82,2002.0,10.0,291571.45,9760.65,301332.1,95772.3,148925.1,244647.4,545979.5
83,2002.0,11.0,291130.5,14968.05,306098.55,111941.95,148661.35,260603.3,566701.85
84,2003.0,0.0,264680.65,11800.9,276481.55,105485.1,136571.75,242056.85,518538.4
85,2003.0,1.0,270731.25,4008.25,274739.5,100162.5,166236.8,266399.3,541138.8
86,2003.0,2.0,293532.75,4962.25,298495.0,107152.0,157924.25,265076.25,563571.25
87,2003.0,3.0,319620.55,7087.5,326708.05,97540.75,164786.0,262326.75,589034.8
88,2003.0,4.0,340164.7,8110.35,348275.05,102253.5,201377.7,303631.2,651906.25
89,2003.0,5.0,301151.35,4740.5,305891.85,89532.25,168362.1,257894.35,563786.2
90,2003.0,6.0,326753.45,4986.85,331740.3,97374.5,186599.5,283974.0,615714.3
